source_file,metric,i,j,value,err,value_upup,err_upup,value_updn,err_updn
example.out,bonds x,4,6,-0.86607009841179,0.003450732940369185,,,,
example.out,bonds x,4,7,0.215958645985096,0.003121810007155665,,,,
example.out,bonds x,5,0,0.236646584004007,0.003305429873245882,,,,
example.out,bonds x,5,1,-0.86389353825869,0.004065567660245952,,,,
example.out,bonds x,5,2,0.218073994702371,0.00462856390778255,,,,
example.out,bonds x,5,3,-0.859570455633506,0.002870548669112255,,,,
example.out,bonds x,5,4,0.223580426223109,0.0051666431896531,,,,
example.out,bonds x,5,5,-0.853980554612174,0.004746956176580593,,,,
example.out,bonds x,5,6,0.226617359559754,0.004282339033487658,,,,
example.out,bonds x,5,7,-0.87030836027283,0.003506535609957189,,,,
example.out,bonds x,6,0,-0.882121271458964,0.001795820472312337,,,,
example.out,bonds x,6,1,0.211863102042752,0.004505419226725622,,,,
example.out,bonds x,6,2,-0.852007073579897,0.003476761996451725,,,,
example.out,bonds x,6,3,0.212936604777102,0.005194484178061776,,,,
example.out,bonds x,6,4,-0.843655567161792,0.003293928973925539,,,,
example.out,bonds x,6,5,0.226508096523506,0.004279216225133698,,,,
example.out,bonds x,6,6,-0.858948546717669,0.002789183455736338,,,,
example.out,bonds x,6,7,0.218101516141752,0.003005237166936479,,,,
example.out,bonds x,7,0,0.148228513816259,0.00354864492023904,,,,
example.out,bonds x,7,1,-0.873692115021407,0.003199531267537578,,,,
example.out,bonds x,7,2,0.225490845375377,0.004273195301288582,,,,
example.out,bonds x,7,3,-0.850189617770531,0.00293688233015641,,,,
